ID,Top_Keywords,Top_Sentences
36856210,"['management' 'information' 'network' 'systems' 'technology' 'enterprise'
 'data' 'state' 'city' 'design']","['      Skills          Enterprise platforms  Knowledge of Product Lifecycle Management (PLM)  Project tracking  Hardware and software upgrade planning  Product requirements documentation  Self-directed  MS Visio  Decisive  Collaborative  Domain Active Directory Layout  Data storage engineering      Information Assurance  Risk Management Framework (RMF)  Active Directory design and deployment  Workstation build and deployment  Systems Accreditation Packages  Red Hat Enterprise Linux installation and hardening  Network Design & Troubleshooting  \xa0High Performance Computing            Experience      Company Name    City  ,   State    Information Technology   02/2011   to   Current        I was hired to manage accreditation\nefforts for a major department modernization project involving 3\naccreditation packages each leading to successful Authorization To\nOperate decisions.'
 '     Class President for second year          Skills        Active Directory  Hardware Engineering  Information Technology  Red Hat Enterprise Linux Servers  MS Windows Servers  MS Windows Desktop  Network Design & Troubleshooting  Architectural Diagrams  Accreditation Boundarys  Risk Management  Enterprise Strategies  Vendor Relations   Desktop Publishing Software: Photoshop, Illustrator, HTML  Team Work  Collaboration     '
 '        Company Name    City  ,   State    Senior Systems Analyst   02/1999   to   02/2006        I was hired to improve corporate and\nclient communications and processing requirements which resulted in\nthe design, build and deployment of 3 Enterprise network solutions.'
 '\xa0  Managed application patches, data backup, security changes and network configuration.'
 '          Company Name    City  ,   State    Systems Engineer   02/2006   to   02/2011        I was Hired\nto initiate processing strategies in fulfilling department analyst requirements.'
 '         INFORMATION TECHNOLOGY         Summary     Dedicated  Information Assurance Professional \xa0well-versed in analyzing and mitigating risk and finding cost-effective solutions.'
 ' Requirements were fulfilled thru i dentifying product problems and strengths and collected data on customer experience\xa0 and review of Enterprise compliance to transition to new\ntechnology for supporting new processing needs thru proper processing\npower.'
 '\n\n\n          Education and Training      Associate of Science  :  Electronic Engineering   1980     Florence Darlington Technical School  ,   City  ,   State       Electronic Engineering.'
 '\n\n\n\n\n\n\nFulfilled\nrequirements for detecting crucial network software/hardware\nweaknesses and developing preventive strategies and solutions for\navoiding interruptions and increasing system security thru\ndocumenting system layouts, wiring diagrams and addressing schema to\nunderstand layouts and make informed solutions to upper management.'
 '\xa0 Analyzed complex computer systems to assess vulnerability and risk.']"
21780877,"['systems' 'information' 'management' 'technology' 'state' 'city'
 'software' 'hardware' 'network' 'support']","['         INFORMATION TECHNOLOGY SPECIALIST\tGS11             Experience     07/2004   to   Current     Information Technology Specialist\tGS11    Company Name   －   City  ,   State      Information Technology Specialist; Supervison; Project Management; Circuit Management; Licensed Electrician; Alarm management; Alarm Technician; Training; Supply; Quality Assurance Kevin L.'
 '     Skills    budget, cabling, cisco, hardware, Client, documentation, Electrician, feasibility studies, funds, Information Technology, inspector, LAN, materials, access, network, networking, networks, personnel, Telephone Systems, printers, processes, Project Management, Quality Assurance, routers, system design, technical assistance, Technician, Telecommunications, Troubleshoot, troubleshooting, upgrades, video, wiring      Additional Information      AWARDS:\nSuperior Performer, 2nd Quarter 2003;  USAF Achievement Medal, June 2000; Humanitarian Service Medal, January 1998; 20 CRS Maintenance Professional of the Year, 1998; Airman of the Quarter, May 1997; Airman of the Month, March 1997; Airman of the Month, February 1997\nOTHER INFORMATION:\nWhile stationed in South Carolina performed three years of volunteer electrical work for Habitat for Humanity.'
 ' Provide customer technical assistance/support for all users.'
 ' Systems include network infrastructure equipment, cabling, voice systems, video systems, small computers, and printers\nMaintain close working relationship with Communications Focal Point--production requirements/Remedy tickets.'
 '        02/2001   to   Current     Cyber Transport/ Client Systems Workcenter Supervisor    Company Name   －   City  ,   State      Kevin L.'
 "" Document training of personnel using Computer based training system (TBA)\nSustain and operate systems through effective troubleshooting, repair, PMI's, system performance testing/analysis.""
 ' Serve as a focal point for ensuring functionality and operability of the assigned IT/data systems/functions, voice, and wireless systems to support mission requirements.'
 "" Optimize, analyze, manage, and direct installation of any new hardware or software introduced into the environment to ensure its compatibility with existing architecture, its reliability, and functionality in relation to the organization's business requirements.""
 ' Provide management with information necessary to address difficult/complex problems.'
 '         Education and Training     JUN 1996     HS Diploma  :   General Studies    Brockport High School   －   City  ,   State      General Studies       MAY 2003     BS Degree  :   Electrical Engineering    University of TN   －   City  ,   State      Electrical Engineering       November 1996     USAF, Electronic Principles, June 2002 to August 2002; USAF, Telephone Systems Apprentice Course, September 2002 to December 2002; USAF, Aircrew Egress Systems Apprentice Course      Numerous certificates for web-based training on LAN fundamentals, routers, topologies, cisco networking, etc.']"
33241454,"['information' 'state' 'technology' 'city' 'network' 'systems' 'company'
 'equipment' 'support' 'experience']","['         Information Technology Technician   01/2009   to   01/2011     Company Name   City  ,   State       Maintained communications equipment in order to effectively relay confidential and secret information.'
 '         INFORMATION TECHNOLOGY SUPERVISOR       Summary    Seeking a position as an Information Technology Specialist.'
 'Harding   City  ,   State               Skills    Army, Cisco, counseling, customer assistance, database, documentation, Information Technology, inventory, IP, LAN, Windows 7, Network, personnel, policies, protocols, repairs, Routing, San, supervisor, test equipment, troubleshoot, WAN   '
 '         Education      Certification, Windows 7, Microsoft, Fort Bragg, NC,     2012                   *Certification, Security  , Comptia, Yong San, Korea,     2012                   *Distinguished Graduate Certificate, Information Technology (Network Communications) Course     2009       U.S. Army   City  ,   State               Certificate, IT Network and Cisco Routing, IT Field Services Branch     2009          City  ,   State               Associate of Science  :   Radiography   2008       Northwest Florida State College   City  ,   State       Radiography        Certificate     2001       IT Tech Prep, Trumbull Career and Technical Center     State               Diploma     2001       Warren G.'
 '     Experience      Information Technology Supervisor   01/2011   to   05/2014     Company Name   City  ,   State       Supervise up to 10 personnel at one time, delegating tasks, conducting performance evaluations and providing corrective counseling as necessary.'
 'Over 5 years of information technology experience in the U.S. Army, including over 1 year of supervisory experience.'
 '         Command Post Controller   10/2001   to   10/2005     Company Name   City  ,   State       Provided command, control, communications, and information support throughout operations during peacetime, emergency, and disaster situations.'
 '     Highlights          Excellent communication techniques  Manufacturing systems integration  Multidisciplinary exposure  Design instruction creation  Project management      Complex problem solver  Advanced critical thinking  SharePoint  Microsoft Excel, Project and Visio            Accomplishments    Army Achievement Medal for impacting the communications network and overall success of Key Resolve 13 in Yong San, Korea.'
 ' Regularly set up and added computer systems to a communication network, installing operation systems, accessing stored programs and utilizing IP addresses.'
 ' Disseminated time-sensitive critical information to senior leaders and support agencies.']"
25990239,"['technology' 'management' 'training' 'information' 'state' 'experience'
 'support' 'company' 'project' 'computer']","[""Western Governor's University         Learning & Technology       Bachelor of Science  ,   Information Technology Management   Information Technology Management       B.S. .........""
 'Advanced customer service training and experience Curriculum          Data Analysis          Other · Curriculum design          · Advanced Data Analysis          · Student counseling · Learning analysis          · Market analysis          · Customer service training · Advanced planning          · Training success evaluation         · Team building · Articulation and development          · Quantitative project analysis       · Project management · implementation          · Qualitative project analysis        · Advanced conflict resolution · Evaluation          · Advanced user experience          · Market driven planning expertise · Computer based training design          data analysis      Highlights        Media Design          Productivity          Other · Photoshop          · Microsoft          · Network Management · Premier          · Word          · Novell Console 1 · Illustrator          · Excel          · Microsoft Networking · InDesign          · Powerpoint          · Cable Wiring Standards · Flash          · Project          · Machine Hardware · Dreamweaver          · Outlook          · Windows OS installation & · Fireworks          · iLife          Repair · Soundbooth          · Pages          · Mac OS Installation & Repair · QuarkXpress          · Numbers          · Virtualization · Camtasia          · Keynote          · Parallells · HTML Coding          · iMovie          · VMware, Desktop & Fusion · PHP / Database connection          · iPhoto          · Course Management Software            Experience      Information Technology Instructor ...................................................................................................................'
 '    2003     Utah Valley University                Skills    Photoshop, Premier, art, Cable, Hardware, computer repair, curriculum development, client, Customer service training, Database, Department of Health, documentation, Dreamweaver, Fireworks, Flash, help desk, HTML Coding, Illustrator, InDesign, information technology, Inventory control, Mac OS, market, Excel, Microsoft Networking, Outlook, Powerpoint, Windows OS, Word, multimedia presentations, Natural, Network Management, Novell, PHP, progress, QuarkXpress, staff training, technical support, user training, phone, troubleshooting, Wiring   '
 '         INFORMATION TECHNOLOGY INSTRUCTOR       Summary    Seventeen years experience in the information technology field.'
 '    Jan 2002   to   Jan 2009      Company Name   －   City  ,   State     Provided advanced level technical support for department staff in computer repair and service.'
 'Group and project management experience for over twelve years.'
 '        Technical Support Specialist ............................................................................................................................'
 '    Jan 2012   to   Current      Company Name   －   City  ,   State     Manage student learning needs.'
 ' Provide remote control support for customers throughout the state.'
 '    Jan 2010   to   Jan 2012      Company Name   －   City  ,   State     Manage incoming troubleshooting calls from four state agencies.']"
16899268,"['technology' 'state' 'company' 'city' 'management' 'project'
 'information' 'team' 'manager' 'development']","['     Skills        Project management Program management Process improvement Requirements gathering Team leader Strategic planning  Results-oriented Effective multi-tasker Data analysis Team player Team building Extensive technology experience          Work History      Information Technology Manager/Analyst  ,     07/2006   to   Current     Company Name   –   City  ,   State    \n\n\n\n\n\n\nAnalyze the technology needs of the Graduate College, to develop short term and long term goals and to meet and implement the solutions to those needs by working with internal, external or mixed teams tech or non-tech teams.'
 '         INFORMATION TECHNOLOGY MANAGER/ANALYST         Professional Summary    Innovative and solution focused web development manager/analyst with extensive experience in Program and Project Management.'
 '        Web Communications Manager  ,     01/1999   to   01/2003     Company Name   –   City  ,   State      Developed and managed websites and web software related projects while staying within the $2 million budget of the Web Communications department.'
 '0       B.S  :   Marketing  ,       Iowa State University   -   City  ,   State    Marketing        Microsoft Front Page Certified New Horizons - Des Moines, IA\nA CCOMPLISHMENTS  :     1 1999    l Rolled out the first company wide intranet for a Fortune 500 Company.'
 ' Supervise and manage the composition of the Graduate College information technology team focusing on balancing technology skills based on short and long term goals.'
 ' Developed, trained, and implemented Corporate Web Design Standards across the company.'
 ""\n\n\n   Led the Graduate College IT team for over eight years   Implemented Software Development Lifecycle Methodology\xa0   Appointed to Iowa State University's Paperless Task force to represent the Graduate College   Elected to the Professional and Scientific Council to represent P&S employees  Led strategic initiates for the Graduate College for past three years  Communication leader between faculty, staff, and central IT  Proficient in the use and implementation of industry IT standards  Regularly translate detailed program requirements into technical specifications.""
 '        Education      Family Financial Planning (Graduate Certificate)  :         Iowa State University   -   City  ,   State           Will be a Certified Financial Planner after completion.'
 '        Manager  ,     06/2003   to   06/2006     Company Name   –   City  ,   State      Assisted with the running of the Des Moines Store (Largest in district).'
 'Oversee the management of multiple websites running various software.']"
91635250,"['software' 'support' 'systems' 'security' 'hardware' 'company'
 'management' 'network' 'technology' 'information']","['      Skills          Routers  Staff Management  Hardware Troubleshooting  Network Administration  Cisco  Help Desk Support  Cisco Switching  Cisco Routers  Hardware Installations  Learning Strategies  Software Updates  Repairing  System Testing Software  Operation Monitoring  Problem-Solving Skills      Excellent Interpersonal Skills  End-User Support  Repair  Advanced Computer Proficiency  Industry Needs Awareness  Contract Review Proficiency  Company Policy Adherence  Device Configuration  Hardware and Software Installation  Technical Support  Hardware Updates  Hardware and Software Problem Diagnosis  Security Protocols  Security Oversight  Speaking            Experience      Information Technology Specialist     City  ,   State      Company Name  /   Feb 2015   to   Feb 2021       Created new accounts, reset passwords and configured access to servers and file management software for users.'
 ' Directed account management and customer training on company technical software and tools for new accounts and new users.'
 'Proficient Information Systems Technician successful at troubleshooting technical issues and training end-users.'
 'Excellent skills in infrastructure, data management, and enterprise operations.'
 '         Education and Training      Some College (No Degree)      University Of Advancing Technology      City  ,   State             '
 ' Provided on-site technical support after project implementation and recommended product changes and upgrades to product managers.'
 'Systematic IT professional proficient in network, project and emergency management.'
 'Able to install hardware, patch software and configure internal systems.'
 '           Christopher    Townes         Summary     Knowledgeable Information Technology Specialist capable of setting up and optimizing workstations, training users and assisting with process improvement implementation in diverse areas.'
 ' Disassembled computer systems to troubleshoot and resolve hardware issues.']"
19796840,"['management' 'business' 'security' 'support' 'systems' 'company' 'state'
 'city' 'information' 'user']","[""        02/2000   to   09/2001     Systems Infrastructure Analyst    Company Name   －   City  ,   State           10/1999   to   02/2000     Technology Service Consultant    Company Name   －   City  ,   State            Education and Training          B.B.A  :   Management Information Systems    University of Houston          Management Information Systems       2010     Certified Information Systems Auditor (CISA) Certification                  - 1085531\n*Legacy MCSE, CCNA, and Novell certified\n*Delta Sigma Pi Business Fraternity\n*Agrium Women's Leadership Group              Skills    Streamline, approach, AS/400, audit reports, auditing, business owner, business process, business processes, business process re-engineering, CCNA, Change Management, CISA, Citrix, coaching, hardware, continuous improvement, Council, Client, clients, customer satisfaction, database, Dell, documentation, E-Business, Financials, Financials 8.8, Financial, financial reporting, functional, Grants, HP, Hubs, HR, Information Systems, internal audit, IT management, IT support, ITIL, Leadership, team lead, Mainframe, meetings, Access, MCSE, MS Office, MS Project, SharePoint, migration, Enterprise, network, Novell, Oncology, Oracle Enterprise Manager, Oracle, Developer, Payroll, PeopleSoft HRMS, PeopleSoft, PeopleSoft 9.1, PeopleSoft 9.2, PeopleTools, PeopleTools 8.51, personnel, policies, processes, Procurement, quality, re-engineering, reporting, requirement, requirements gathering, risk assessment, risk management, Sarbanes Oxley, SAS, Siebel, Sigma, SQL, strategy, Structured, supplier management, user support, user training, technical documentation, TOAD, troubleshoot, troubleshooting, upgrades, upgrade, validation, VPN, Visio, articles     ""
 '        04/2007   to   10/2007     Manager    Company Name   －   City  ,   State      Managed and assisted in development of major incident management procedures to be followed by IT staff in resolving network related issues.'
 '        07/2014   to   04/2015     Sr. Application Systems Analyst    Company Name   －   City  ,   State      Worked with business owner to gather and document business requirements and business processes.'
 ' Worked with network and application support team to resolve technical issues.'
 '        10/2007   to   07/2014     Sr. ERP Security Analyst/Team Lead/Project Lead    Company Name   －   City  ,   State      As a team lead, was responsible for implementation, troubleshooting, cybersecurity assessments, PeopleSoft user security reviews and security support, user system access review, and upgrades for PeopleSoft HRMS, PeopleSoft Financial systems, and Workday HCM.'
 '           Experience     10/2016   to   Current     Information Technology Auditor    Company Name   －   City  ,   State      Participate in the annual risk assessment and audit planning process covering IT, financial, operational, and contract areas.'
 ' Managed application project initiatives, procurement, and change management; this included impacts to business applications, processes and supplier management day-to-day planning, audit schedules, risk management, compliance, and ensuring the team met its required level of service for production.'
 '        04/2015   to   10/2016     PeopleSoft Security Administrator III    Company Name   －   City  ,   State      Work closely with the internal and external audit department to provide reports and documentation for compliance.'
 ' Provided advanced technical application support and troubleshooting.'
 '        03/2006   to   04/2007     Lead Client Security Analyst    Company Name   －   City  ,   State      Served as the liaison between the business and IT departments supporting global accounts for companies located all over the world.']"
15651486,"['network' 'cisco' 'company' 'systems' 'information' 'state' 'management'
 'city' 'software' 'support']","['         Education and Training          B.S  :   Computer Networking Systems    ITT Technical Institute   －   City  ,   State      Computer Networking Systems        Skills    ad, budget, change management, Cisco IOS, Cisco, Cisco Routers, Hardware, contracts, clients, Database, Dell, Dell PowerEdge servers, designing, ERP, financials, financial, Firewall, focus, Groupwise, help desk support, Help Desk, HP, IBM, IDS, IT support, LAN, Laptops, notebook computers, Linux, managing, MAS90, Access, Exchange, Office, Windows, Windows XP, network engineer, network printers, network, Networking, networks, Operating Systems, PCI, Phone system, policies, POS, Prime, printer, Printers, protocols, purchasing, quality assurance, Express, reporting, research, router, routing, Scanners, SCO Unix, SQL, SSL, switches, Cisco Switches, Symantec, trend, Troubleshoot, upgrades, vendor management, video, VPN, Vista, VoIP, WAN, Windows Server, workflow   '
 '        01/2010   to   01/2013     Network Administrator/Help Desk Manager    Company Name   －   City  ,   State      Served as technical specialist in network problems and emergencies.'
 '        01/2013   to   01/2015     Network Engineer/I.T. Manager    Company Name   －   City  ,   State      Supervised and led IT infrastructure team (including Help Desk).'
 '        01/2009       Help Desk Support/IT Technician/Network Admin    Company Name   －   City  ,   State      Provided first level help desk IT support in a 300 user environment spanning over 15 remote sites.'
 '         DIRECTOR OF INFORMATION TECHNOLOGY       Career Overview    Seeking a position as a Director of I.T. in a company where I am able to utilize my experience and training in networking, troubleshooting, and customer relations.'
 '        01/2010       Help Desk Analyst    Company Name   －   City  ,   State      Provided help desk support for over 7,000 Taco Bell stores.'
 ' Established an IT Governance department to focus on managing systems quality assurance, PCI security, and audit change management, IT purchasing and administration, IT contracts and vendor management, and IT financial capital and expense management.'
 '     Qualifications          Networking - Nexus 7K, UCS, UCCX, Cisco Call Manager, Cisco Unity, Cisco Attendant Console, Cisco Jabber, Cisco ASA, Cisco ISE, Cisco ACS, Cisco Voip, Cisco Routers, Cisco Switches, Cisco Wireless Controllers, Cisco Wireless Access Points, Cisco IronPort, Juniper Firewall,  Operating Systems - Windows Server 2003/2008/2012, SCO Unix, SUSE Linux, Windows XP/Vista/7/10, Cisco IOS  Hardware - Dell PowerEdge servers, IBM Bladecenter, Dell/HP/Lenovo PC & Laptops, Cisco/Juniper/Fortinet switches, Barracuda/Juniper Spam & Web firewall, POS, Label Printers, Barcode Scanners, RF Scanners  Software - MAS90, Office 2007/2010/2013/2016, VMware, Groupwise, Exchange 2007, Aldon, Remedy, Putty, SecureCRT, VNC, WireShark, Snorby, SolarWinds Orion, SQL Database, Epicor (ERP),  Security - Nexpose (Rapid7), Snort, Snorby, Symantec, Trustwave, PCI Compliance CISCO Certified Network Associate (CCNA)                    Work Experience     01/2015   to   Current     Director of Information Technology    Company Name   －   City  ,   State      Serves as the main point of contact on all I.T.  related matters.'
 ' Identifying and providing standards for gathering information for use in trend analysis and reporting information to company leaders.'
 ' Worked as lead network engineer with system administrators in setup of hardware/software networking modules for production and development environments.']"
52246737,"['information' 'security' 'technology' 'management' 'business' 'support'
 'software' 'technical' 'network' 'systems']","['         Education and Training      Associates of Arts and Sciences (AAS)  :  Business Administration Software Technology      Business Administration Software Technology        Associates of Arts (AA)  :  Information Technology      Heald College          Information Technology        Associate of Applied Sciences (AAS)  :  Network Security      Heald College          Network Security        Comptia A  Certification\nComptia Security  Certification                Skills    A  Certification, Active Directory, AD, Anti-Virus, BUSINESS PROCESS, coaching, Compliance Manager, CA, hardware, Concept, CONTRACT NEGOTIATIONS, contracts, conversion, encryption, clients, designing, desktops, Disaster Recovery, DNS, Firewall, functional, Gateway, IDS, imaging, Information Security, laptops, Legal, Linux, Mac, director, McAfee, mediator, mentoring, Exchange, Microsoft Exchange, Mail, Windows (XP, negotiation, Enterprise, network, Networking, operating systems, personnel, policies, processes, programming, Proxy, Red Hat, RELATIONSHIP BUILDING, Risk Management, SAN, statistics, Symantec, TCP/IP, Technical Trainer, phones, troubleshooting, VPN, Author   '
 '          Audit and Control Establishment\n          Immediate Value Offered          Technical Acumen\n Maximize technology investment, effectively implement IT business strategy,         \n drive innovation, improve business processes, expand service & technical          STRATEGIC PLANNING & ENABLEMENT\n capabilities and maximize multi-million dollar cost savings      Qualifications        BUSINESS PROCESS IMPROVEMENTS\n Partner with teams to create efficient cross-functional processes by eliminating\n          CONTRACT NEGOTIATIONS\n          COST SAVINGS INITIATIVES AD, DNS, TCP/IP, Microsoft Exchange, Rapid7 Vulnerability Assessment Platform, Firewall, IDS/IPS, Web Filter/Proxy, Mail              Accomplishments      Influential change agent focused on renewing quality initiatives for complex IT         IT SOX GOVERNANCE & COMPLIANCE\n Outstanding Mentoring skills, adept at coaching junior and senior personnel,\n portfolios while collaborating cross-functionally and interdepartmentally\n increasing growth and confidence among team members\n          FINANCIAL POLICIES & FORECASTING\n          PROJECT Deployment & REPORTING\n          PROJECT SCOPE AND SCHEDULING\n Provide ongoing management of Information Security practices, specifications,\n and architecture design facilitating continuous organizational improvement\n          Security INFRASTRUCTURE\n          IT ANALYTICS & ORIENTATION\n Progressive experience with managing enterprise security initiatives and          \n culture and the development of appropriate audit procedures, policies,\n managing IT SOX governance & compliance to build a risk-based security\n escalation paths, tracking, documentation, and a highly trained team proficient\n          Management        Experience\n in enforcing key SOX requirements throughout the enterprise\n          PROGRAM MANAGEMENT\n          CROSS FUNCTIONAL COLLABORATION\n coupled with enterprise policy creation and negotiation acumen\n Possess comprehensive technical background and management experience          RESOURCES UTILIZATION\n          TRAINING & DEVELOPMENT\n Ensure business continuity and manage technology risks through information          CHANGE MANAGEMENT\n assurance scoping, raising security awareness, bolstering systems, deploying.'
 '         Company Name   －   City  ,   State      Responsible for Enterprise Information Security and Architecture, Risk Management and Compliance, understanding business\nInformation Security & Compliance Manager          SolarCity, SAN MATEO, CA          November 2013 - PRESENT\nissues and concerns, determining business and security requirements, designing architecture and applying Security Technologies\nto mitigate risk and ensure compliance with SolarCity policies and standards.'
 '         INFORMATION TECHNOLOGY PROVISIONING TECHNICIAN         Career Overview    Process driven, goal oriented, Information Security Leader with 5  years of IT and security experience.'
 '         Information Technology Provisioning Technician  ,   10/2012   to   08/2013    Company Name   －   City  ,   State      researched and resolved AD issues relating to advanced administration and GPO creation.'
 '         Information Technology Consultant  ,   12/2011   to   02/2013    Company Name   －   City  ,   State      varying degrees of service contracts, in significantly diverse environments.'
 ' Reduced the total cost of ownership for our\n          Anti-Virus system by streamlining the\n    Identified technical/mobility improvements to physical security designs,          Author and maintain all Information\n          deployment and administration processes\n    providing a risk-based methodology, increased incident management landscape          Technology, and Information Security\n    and reduced operational expenditure          policies for the enterprise Administered and coordinated the conversion of existing whole disk encryption platform (Symantec PGP) to new platform.'
 ' deployment of Vulnerability Assessment\n          Concept-to-completion driver for the\n          platform\n    Interdepartmental mediator focused on converting identified risks, divergent -\n    programming and non-compliant applications and software into enterprise-\n    level solutions complete with policy guidance and remediation measures\n          Vendor assessment, negotiation and then\n          implementation of an upgraded security\n    Managed Information Security projects, including planning and development of\n          platform including firewall, proxy,\n    new processes and technologies in areas of intrusion detection and response,\n          category-based filter and VPN\n    management of vulnerability assessment practices, and vpn authentication.'
 ' Resolved\n complex hardware and software issues, and served as tier 2 and 3 support when needed.'
 ' Led the executive support team which provided ""white-glove"" support for director level and above\n    Active Directory administration ranging from SSO integration to forest creation, to simple user administration.']"
12045067,"['systems' 'information' 'project' 'technology' 'support' 'network'
 'provided' 'design' 'requirements' 'technical']","['         INFORMATION TECHNOLOGY (IT) SPECIALIST                 Experience      Information Technology (IT) Specialist      January 2012     Company Name                IT Specialist Project Engineer    December 2009   to   Current       City  ,   State      U.S.  Army Information Systems Engineering Command (USAISEC) on projects involving large and complex data networks and telecommunications systems while assigned to the Fort Huachuca Engineering Directorate of USAISEC.'
 ' Systems Integration Analyst responsible for contract Information Technology (IT) engineering services in support of the US Army Information Systems Engineering Command (USAISEC).'
 ' I develop, manage and coordinate the implementation of network communications, local area networks (LANs), visual information systems (VIS), and information technology (IT) infrastructure  projects.'
 '         Education      Bachelor of Science (BS)   :   Information Technology  ,   2005    University of   Phoenix          GPA:   GPA: 3.67    Information Technology GPA: 3.67        Associates of Applied Science (AAS)   :   Electronic Technology  ,   2003    Cochise   College          GPA:   GPA: 4.0 Phi Theta Kappa    Electronic Technology GPA: 4.0 Phi Theta Kappa        Associate   :   General Studies  ,   2001    AGS Cochise College          GPA:   GPA: 4.0 Phi Theta Kappa    General Studies GPA: 4.0 Phi Theta Kappa          Skills    Administrative, Analyst, Army, Agency, cable, cabling, Cat5, documentation, Engineer, engineering support, financial, Functional, Government, IMS, Information Systems, Information Technology, local area networks, Local Area Network, LANs, LAN, law, Materials, meetings, Office, Network, networks, personnel, procurement, project leader, project coordination, QA, quick, Radio, routing, SAT, scheduling, Supervisor, surveys, Switch, System Design, Systems Integration, telecommunications, Telephone, Theatre, UHF, Ultra High Frequency, upgrades, upgrade, validation, Vista, voice and data   '
 ' Provided engineering, procurement, installation, cutover and testing requirements for the High Frequency (HF) and Ultra High Frequency (UHF) Radio Systems and antennas in support of a Command, Control, Communications, Computers and Intelligence / Information Technology (C4I/IT) systems project.'
 ' These efforts included various secure voice, data, and visual information systems critical to the Command Center operations.'
 ' Provided on-site engineering support for the voice, data, and visual information systems being installed for the United States Army South (USARSO) Headquarters and the Installation Management Agency (IMA) at Fort Sam Houston, Texas.'
 ' Conducted QA / QC checks and testing for a Defense Red Switch Network (DRSN), Global Command and Control System (GCCS), Unclassified Local Area Network (NIPRNET), Secret Local Area Network (SIPRNET), Sensitive Compartmented Local Area Network (SCI LAN), Administrative Telephone System, and Visual Information Systems.'
 ' Reviewed building construction design drawings, consolidated design change input requests from the customer and team members, and provided justification for the proposed design changes and building modifications to ensure that the IT infrastructure was installed according to technical specifications, applicable security standards,  and customer requirements.'
 ' and provided technical oversight of the project.']"
